datapoint_index,mean_est,high_95ci,low_95ci,Site,SiteMean,particle num,par %,mean_est,high_95ci,low_95ci
1,0.166003909,1.480780032,-1.213197091,BANG09,0.928269305,112,0.00224,0.166003909,1.480780032,-1.213197091
2,-0.115488492,1.360912969,-1.667654187,BANG11,13.53247011,0,0,-0.115488492,1.360912969,-1.667654187
3,0.630969037,1.749535434,-0.532628484,BANG14,16.60320373,297,0.00594,0.630969037,1.749535434,-0.532628484
4,3.151834028,5.035753875,1.266276792,BANG15,11.36204826,1300,0.026,3.151834028,5.035753875,1.266276792
5,2.234470397,3.587788584,0.8817315,BANG16,27.28608569,935,0.0187,2.234470397,3.587788584,0.8817315
6,0.598295812,1.724679953,-0.570331486,BANG17,0,284,0.00568,0.598295812,1.724679953,-0.570331486
7,-0.112975167,1.361793232,-1.665078657,BANG35,6.236040799,1,0.00002,-0.112975167,1.361793232,-1.665078657
8,-0.112975167,1.361793232,-1.665078657,BANG36,0,1,0.00002,-0.112975167,1.361793232,-1.665078657
9,-0.115488492,1.360912969,-1.667654187,BANG37,6.689918809,0,0,-0.115488492,1.360912969,-1.667654187
10,-0.115488492,1.360912969,-1.667654187,BANG38,0,0,0,-0.115488492,1.360912969,-1.667654187
11,0.749095313,1.830920082,-0.392922188,BANG39,2.220256128,344,0.00688,0.749095313,1.830920082,-0.392922188
12,2.103777496,3.399731996,0.814750197,BANG40,6.767606932,883,0.01766,2.103777496,3.399731996,0.814750197
13,3.780165282,6.073101844,1.417580402,BANG41,9.952124767,1550,0.031,3.780165282,6.073101844,1.417580402
14,0.414823086,1.606129906,-0.844982282,BANG42,0,211,0.00422,0.414823086,1.606129906,-0.844982282
15,3.883211607,6.265532495,1.445763248,BANG43,614.4670593,1591,0.03182,3.883211607,6.265532495,1.445763248